Company,Project Name,Sales Stage,Complete Date,Volume [kg],Chance of Success (%),Notes,ASI CONTACT NATURE ROLE AS,ASI CONTACT RELATIONSHIP,ASI Customer Group,ASI FUNCTIONALITY,ASI OPPORTUNITY STATUS,ASI OPPORTUNITY TYPE,ASI PAC Desc,ASI RESULT REASON,ASI SBU,ASI STAGE QUALIFICATION,ASI UOM
DIC New Zealand Ltd - Pacific Inks Limited,PVP,Closed Lost,31/12/2013,0,0,"PVP K90, PVP K85 20%, Vivaprint 540 (PVP K90 looking ok and cheapest option)",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Scotts Brewing Co,Polyclar 730,Deferred,31/10/2014,100,0,,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Uroxsys Limited,Klucel G2240 - Paintstripper,Closed Lost,1/10/2013,250,50,Sample delivered 2/7/13 - Tested ok - have sent through pricing for costing. Feedback 1/8/13. Methocell F4M half the cost and now working better.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Nuplex Industries Ltd,M-Pyrol,Closed Lost,31/12/2013,1500,0,Sample provided last year and pricing finally requested. Looking at 1500kg pa. Not competitive - Production now likely to move offshore,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Decora Group Ltd,Paint Stripper,Evaluated and Approved,31/12/2014,50,50,"Decora contract manufacture for Oceanmax. Plan to manufacture paint stripper for removing coatings from propeller blades. Formulation includes peroxide, benzyl alcohol, Methocel F4M Std (Combizell equivalent), D-limonene, Xanthan 200 & Klucel PR.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Uroxsys Limited,Mpyrol /  Pharmasolve,Closed Won,15/05/2013,1000,50,Mpyrol - uncompetitive for use in urethane emulsions. Not previously competitive. Will requote with new pricing,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Whitehall Technical Services Ltd,Reactive Monomers,Closed Lost,15/12/2010,500,10,"Sampled Rapi-Cure HBVE. Awaiting sample of Rapi-Cure CHVE.
Sample never received.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
CRC Industries NZ,SBR 1013,Closed Lost,31/08/2013,0,10,Supplied sample on 18.08.11.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Winstone Wallboards Ltd,Effect on cellulose of adding oil or sterate,Initiated,20/06/2014,0,0,WWB have found that they get less stability when an oil is included in the air drying compounds. Added to improve sandability.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Decora Group Ltd,Aquaflow for Trim & Broadwall (Premium & Trade),Sampled,30/08/2015,8000,10,"Currently use a number of rheology modifiers and appreciate that some are old technology and so keen to rationalise, but have limited technical resources.
Would like ASI to evaluate the rheology of Decora paint in comparison to a market leader's paint in the following areas and recommend a rheology system:
1. Trim Paint - use RM5000
2. Premium Broadwall - use Plus 330, RM 2020, Rheolate 244 & RM8
3. Trade Broadwall - use ~2 x Plus 330, RM5, Rheolate 244

They want some more universal RM's and for high shear less problem with colour. Made the following comments on competitor RM's.
Rheolate 244 - Mid-shear. Solved some issues they had with RM 2020 & RM 8 combo, but is worst for viscosity drift (time to associate)
Acrysol TT-615 - Use in some high build formulations - would like an alternative
Acrysol RM 5000 - Happy with efficiency in self cross linking trim formulations
Acrysol RM-5 - Believe there must be more efficient alternatives
Acrysol RM 2020 - still in a number of formulations
Acrysol RM8 - Thick and difficult to use, but does efficiently build KU.

RB to send through requirements",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Winstone Wallboards Ltd,Antispatter - Roll on compound,Initiated,1/12/2015,2000,5,Sampled Natrasol Plus 330. Not efficient enough in thickening. Only 2% resin (not hydrophobic). Have requested sample of HE10K,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Phosphate Esters,Initiated,31/05/2016,20000,10,"Currently use 20 MTpa Rhodafac RS 610 A-25 (WA693). Our match is Dextrol OC-6025. 
Resene are big fans of phosphate esters. NZ use Rhodafac & Fiji use Croda.
ASI offer wide range of mono, di & co esters. Interested in novel hydrophobes - need to know the chemistry.
RB to supply presentation, family tree, method of incorporation and arrange video conference.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Cemix Products Limited,Cemix CTA - Tylose Replacement,Sampled,1/03/2015,3000,10,"Using Tylose MH 10007 P4. 1 pallet every 2 months. Buy RDP via Ardex... recommend HS grade
Nuplex initiated project.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Whitehall Technical Services Ltd,UV Release Coating,Closed Lost,15/12/2010,200,10,"Sampled Antaron V-216.
Determined that is was not suitable for their application (which they would not disclose)",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Winstone Wallboards Ltd,TH100 - Phosphate Ester - WWB,Closed Lost,20/05/2015,1,0,"Good at improving stability and stabilising reactive pigments.
WWB - had already evaluated this some years ago without success",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Sika (NZ) Ltd,Cement Tile Adhesive,Closed Lost,30/06/2016,200,0,"Looking to commence manufacture of CTA in NZ due to issues with shelf life of imported Sika formulations. Plan to stick with global formulation which includes C 9115. Asked about RDP and approved grades are Vinnapas & Elotex. Also requested Ca Formate.
Nov 15 - Sika have unfortunately decided to not proceed with local manufacture.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Bostik New Zealand Limited,Densil P Replacement,Closed Lost,31/12/2014,1000,10,"Densil P from Arch via Orica for application in caulks & construction adhesives. Willing to change to 2 prods (in can & dry film) due to HS&E issues, but must be price competitive. Collecting samples for challenge tests. Always alkali formulations.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Mirotone (NZ) Ltd,W/b Urethane Rheology,Closed Lost,31/12/2014,200,0,"Rheology Modifier for w/b urethane pigmented 10% resin solids. Conventional spray applied to give a light coating over foam injected articles.
NB supplied Natrosol brochure + sample of 250LR on 30.09.13.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Rocket Lab Ltd,Rocket Fuel Thickener,Deferred,31/12/2014,25,0,"Thickening a a solvent with solubility parameter ~6. Klucel H works but there are un dissolved particles. Sampled Klucel M & G.
Developed a light weight rocket that would enable them to carry greater payload. the project has been deemed feasible by US Government. Project now sits on hold with the US until they decide whether to go to the next stage in development.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
